"source","pagePath","visits"
"google","/gujarat-mca-colleges-list",2
"google","/me-mtech-colleges-list",5
"google","/me-mtech-colleges",1
"google","/medicalcollege/gujarat-medical-education-and-research-society-gmers-medical-college",1
"google","/medicalcollege/morarji-desai-institute-of-naturopathy-and-yogic-sciences-vadodara",1
"google","/newmecollege.php",1
"google","/medicalcollege/occupational-therapy-college-ahmedabad",1
"google","/engineeringcollege/om-engineering-junagadh",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",2
"google","/diplomaengineeringcollege/savitaben-dahyabhai-patel-polytechnic-mehsana",1
"google","/architecture-college/shri-gijubhai-chhaganbhai-patel-institute-of-architecture-interior-design-and-fine-arts-veer-narmad-south-gujarat-university",1
"google","/d2dcollege/veerayatan-group-of-institutions-faculty-of-engg-7088",1
"google","/diplomaengineeringcollege/valia-polytechnic-college",1
"website-unavailable.com","/",1
"website-unavailable.com","/engineering-colleges-list",1
"(direct)","/",1
"(direct)","/d2d-engineering-colleges-list",1
"(direct)","/gujarat-mca-colleges-list",1
"(direct)","/pharmacycollege/l-j-institute-of-pharmacy-sarkhej-ahmedabad",1
"(direct)","/me-mtech/central-institute-of-plastics-engineering-technology-ahmedabad",1
"(direct)","/merit-calculator",1
"(direct)","/engineeringcollege/noble-engineering-college-junagadh",1
"(direct)","/medicalcollege/shubham-institute-of-nursing-science-research-ahmedabad",1
"google","/medicalcollege/amc-med-lg-hospital-campus-ahmedabad-",1
"google","/engineeringcollege/arrdekta-institute-of-technology",1
"google","/engineeringcollege/arun-munchhala-engineering-college-amreli-",1
"google","/architecture-college/anant-institute-of-architecture",2
"google","/diplomaengineeringcollege/b-s-patel-polytechnic-kherva-",1
"google","/diplomaengineeringcollege/balasinor-college-of-polytechnic-",1
"google","/diplomaengineeringcollege/c-u-shah-government-polytechnic",1
"google","/pharmacycollege/dr-dayaram-patel-pharmacy-college-bardoli",1
"google","/medicalcollege/dr-v-h-dave-homoeopathy-college-anand",1
"google","/diplomaengineeringcollege/f-d-mubin-institute-of-engineering-technology-dehgam-",1
"google","/MBA-MCA/faculty-of-tech-engi-the-m-s-uni-baroda-",1
"google","/bindingdiploma.php",2
"google","/",4
"google","/diplomaengineeringcollege/government-polytechnic-junagadh-",1
"google","/medicalcollege/govt-physiotherapy-college-dahod",1
"google","/diplomaengineeringcollege/grow-more-faculty-of-diploma-engineering",1
"google","/architecture-colleges-list",4
"google","/bindingd2d.php",1
"google","/d2d-engineering-colleges-list",4
"google","/me-mtech-colleges-list",5
"google","/medicalcollege/gujarat-medical-education-and-research-society-gmers-medical-college",1
"google","/medicalcollege/hari-jyot-optometry-college-navsari",1
"google","/diplomaengineeringcollege/image-engg-technical-institute-ashalali-",2
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"google","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",2
"google","/MBA-MCA/kalol-institute-of-management-mca-programme-",1
"google","/engineeringcollege/leads-institute-of-technology-engineering-bharuch",1
"google","/merit-calculator",1
"google","/d2dcollege/noble-engineering-college-junagadh",1
"google","/engineeringcollege/om-institute-panchmahal",1
"google","/diplomaengineeringcollege/s-t-b-s-college-of-diploma-engineering-surat-",1
"google","/engineeringcollege/-shri-j-m-sabva-institute-of-engineering-and-technology",3
"google","/d2dcollege/veerayatan-group-of-institutions-faculty-of-engg-7088",1
"google","/pharmacycollege/vidyabharti-trust-college-of-pharmacy-umrakh",1
"(direct)","/diplomaengineeringcollege/c-u-shah-government-polytechnic",1
"(direct)","/diploma-admission-possibilities",1
"(direct)","/",2
"(direct)","/me-mtech-intake/a-d-patel-institute-of-technology-new-vallabh-vidyanagar",1
"(direct)","/medicalcollege/s-b-b-college-of-physiotherapy-v-s-hospital-ahmedabad",1
"google","/medicalcollege/amc-med-lg-hospital-campus-ahmedabad-",1
"google","/architecture-college/anant-institute-of-architecture",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",1
"google","/diplomaengineeringcollege/d-a-diploma-engineering-technology-mahemdavad-",1
"google","/medicalcollege/dinsha-patel-college-of-nursing",1
"google","/diplomaengineeringcollege/f-d-mubin-institute-of-engineering-technology-dehgam-",1
"google","/architecture-college/faculty-of-architecture-b-arch-cept-university",1
"google","/MBA-MCA/faculty-of-tech-engi-the-m-s-uni-baroda-",1
"google","/pharmacycollege/faculty-of-technology-engineering-the-m-s-university-of-baroda-vadodara",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",1
"google","/diploma-colleges-list",1
"google","/",7
"google","/gtud2dcalculator",2
"google","/medicalcollege/govt-physiotherapy-college-jamnagar",1
"google","/architecture-colleges-list",5
"google","/d2d-engineering-colleges-list",1
"google","/gujarat-mca-colleges-list",1
"google","/me-mtech-colleges-list",4
"google","/medicalcollege/gujarat-medical-education-and-research-society-gmers-medical-college",1
"google","/engineeringcollege/institute-of-technology-management-universe-technical-campus",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"google","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",5
"google","/engineeringcollege/kankeshwari-devi-institute-of-technology-jamnagar",1
"google","/diplomaengineeringcollege/lukhdhirji-engineering-college-diploma-morbi-",1
"google","/MBA-MCA/nootan-sarva-vidhyalay-kelavani-mandal-sanchalit-",1
"google","/merit-calculator",2
"google","/medicalcollege/morarji-desai-institute-of-naturopathy-and-yogic-sciences-vadodara",1
"google","/pharmacycollege/parul-institute-of-pharmacy-limda-vadodara",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",2
"google","/diplomaengineeringcollege/r-m-s-polytechnic-vaghodia-",1
"google","/diplomaengineeringcollege/s-t-b-s-college-of-diploma-engineering-surat-",1
"google","/pharmacycollege/sardar-patel-college-of-pharmacy-bakrol",2
"google","/pharmacycollege/shri-hari-pharmacy-college",1
"google","/diplomaengineeringcollege/savitaben-dahyabhai-patel-polytechnic-mehsana",1
"google","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",1
"google","/medicalcollege/shree-bharatimaiya-college-of-optometry",1
"google","/engineeringcollege/valia-institute-of-technology-valia-bharuch",1
"(direct)","/diplomaengineeringcollege/balasinor-college-of-polytechnic-",1
"(direct)","/d2dintake/b-h-gardi-college-of-engg-technology-rajkot",1
"(direct)","/",5
"(direct)","/architecture-colleges-list",1
"(direct)","/diplomaengineeringcollege/h-b-patel-institute-of-diploma-engg-technology-limbodara-",1
"(direct)","/diplomaengineeringcollege/jayvantrai-harrai-desai-polytechnic",1
"(direct)","/me-mtech-intake/government-engineering-college-chandkheda",1
"(direct)","/pharmacy-admission-possibilities",2
"(direct)","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",1
"google","/medicalcollege/ahmedabad-physiotherapy-college-bopal-ahmedabad",1
"google","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",1
"google","/diplomaengineeringcollege/b-b-institute-of-technology-vallabh-vidhyanagar",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",2
"google","/diplomaengineeringcollege/bhagwan-mahaveer-college-of-polytechnic-surat-",1
"google","/diplomaengineeringcollege/c-u-shah-government-polytechnic",1
"google","/d2dpharmacy/faculty-of-pharmacy-dharmsinh-desai-university-nadiad-",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",2
"google","/diploma-colleges-list",1
"google","/bindingmedical.php",1
"google","/diploma-engineering-colleges-list",1
"google","/",8
"google","/gtud2dcalculator",1
"google","/engineeringcollege/gujarat-power-engineering-research-institute-gperi-",1
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/medicalcollege/govt-physiotherapy-college-jamnagar",1
"google","/architecture-colleges-list",1
"google","/d2d-engineering-colleges-list",8
"google","/me-mtech-colleges-list",5
"google","/gujarat-me-mtech-college",1
"google","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",1
"google","/diplomaengineeringcollege/s-t-b-s-college-of-diploma-engineering-surat-",1
"google","/pharmacycollege/sardar-patel-college-of-pharmacy-bakrol",1
"google","/d2dcollege/shri-satsangi-saketdham-ram-ashram-group-of-institutions-vadasma",1
"google","/diplomaengineeringcollege/savitaben-dahyabhai-patel-polytechnic-mehsana",1
"(direct)","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",1
"(direct)","/engineering-admission-possibilities",1
"(direct)","/",2
"(direct)","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"(direct)","/me-mtech-intake/a-d-patel-institute-of-technology-new-vallabh-vidyanagar",1
"(direct)","/medicalcollege/pramukh-swami-medical-college-karamsad",1
"(direct)","/medicalcollege/shree-bharatimaiya-college-of-optometry",1
"(direct)","/MBA-MCA/k-b-raval-institute-of-computer-studies destain to ahemdabad",1
"bing","/diplomaengineeringcollege/shri-k-j-polytechnic-bharuch-",2
"google","/diplomaengineeringcollege/a-y-dadabhai-technical-institute-kosamba-",1
"google","/d2dpharmacy/ambaji-pharmacy-college-satlasana",1
"google","/MBA-MCA/anand-institute-of-of-information-science",1
"google","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",3
"google","/diplomaengineeringcollege/atmiya-institute-of-technology-science-for-diploma-studies-rajkot-",2
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/diplomaengineeringcollege/b-b-institute-of-technology-vallabh-vidhyanagar",1
"google","/diplomaengineeringcollege/d-a-diploma-engineering-technology-mahemdavad-",1
"google","/d2d-admission-possibilities engipossibilities",1
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/MBA-MCA/department-of-computer-science-rollwala",1
"google","/medicalcollege/dinsha-patel-college-of-nursing",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",1
"google","/gujarat-degree-pharmacy-college-list",1
"google","/bindingdiploma.php",1
"google","/diploma-colleges-list",1
"google","/bindingmedical.php",1
"google","/",3
"google","/gtud2dcalculator",1
"google","/engineeringcollege/gujarat-power-engineering-research-institute-gperi-",2
"google","/MBA-MCA/global-institute-of-management-sfi-moti-adraj-di-gandhinagar",1
"google","/d2dcollege/government-enginnering-college-rajkot",1
"google","/medicalcollege/government-orthotics-and-prosthetics-college-ahmedabad",1
"google","/diplomaengineeringcollege/government-polytechnic-vadnagar",1
"google","/diplomaengineeringcollege/government-polytechnic-chhotaudepur-",1
"google","/diplomaengineeringcollege/grow-more-faculty-of-diploma-engineering",1
"google","/architecture-colleges-list",2
"google","/bindingd2d.php",1
"google","/d2d-engineering-colleges-list",3
"google","/degree-engineering-colleges-list",1
"google","/gujarat-mca-colleges-list",1
"google","/me-mtech-colleges-list",5
"google","/me-mtech-colleges",1
"google","/diplomaengineeringcollege/h-b-patel-institute-of-diploma-engg-technology-limbodara-",1
"google","/diplomaengineeringcollege/jayvantrai-harrai-desai-polytechnic",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",8
"google","/d2dcollege/l-j-institute-of-engineering-technology-ahmedabad",1
"google","/",1
"google","/medicalcollege/muralidhar-college-of-nursing-rajkot",1
"google","/diplomaengineeringcollege/navsarjan-polytechnic-",1
"google","/engineeringcollege/noble-engineering-college-junagadh",1
"google","/diplomaengineeringcollege/s-b-polytechnic-vadodara-",1
"google","/medicalcollege/s-b-b-college-of-physiotherapy-v-s-hospital-ahmedabad",1
"google","/medicalcollege/s-s-agarwal-college-of-nursing-navsari",1
"google","/d2dpharmacy/sharda-pharmacy-college-pansar-gandhinagar",1
"google","/pharmacycollege/shree-mukundlal-vithaldas-shah-pharmacy-college-gajan-sabarkantha",1
"google","/architecture-college/shri-gijubhai-chhaganbhai-patel-institute-of-architecture-interior-design-and-fine-arts-veer-narmad-south-gujarat-university",1
"google","/diplomaengineeringcollege/sigma-institute-of-technology-engineering-polytechnic-bakorl-baroda-",1
"google","/pharmacycollege/smt-bnb-swaminarayan-pharmacy-college-vapi",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",1
"google.co.in","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"screenqueri.es","/",1
"website-unavailable.com","/pharmacycollege/diploma-pharmacy-college-nutan-education-trust-",1
"(direct)","/MBA-MCA/atmiya-institute-of-technology-science-with-engg-",1
"(direct)","/architecture-college/faculty-of-architecture-b-arch-cept-university",1
"(direct)","/",4
"(direct)","/gtud2dcalculator",1
"(direct)","/diplomaengineeringcollege/government-polytechnic-for-girls-ahmedabad",1
"(direct)","/me-mtech-colleges-list",1
"(direct)","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",1
"(direct)","/me-mtech/birla-vishvakarma-mahavidhyalaya-v-v-nagar",1
"(direct)","/me-mtech/noble-enginnering-college-junagadh",1
"(direct)","/engineeringcollege/-shri-j-m-sabva-institute-of-engineering-and-technology",1
"(direct)","/medicalcollege/swami-vivekanand-homeopathy-college-bhavnagar",1
"(direct)","/engineeringcollege/veerayatan-group-of-institutions-faculty-of-engg-",1
"google","/pharmacycollege/a-one-pharmacy-college6038",2
"google","/medicalcollege/amc-dental-college-ahmedabad",1
"google","/architecture-college/anant-institute-of-architecture",1
"google","/diplomaengineeringcollege/butler-polytechnic-vadodara-",1
"google","/diplomaengineeringcollege/d-a-diploma-engineering-technology-mahemdavad-",1
"google","/d2d-admission-possibilities engipossibilities",1
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/MBA-MCA/department-of-computer-science-rollwala",2
"google","/diplomaengineeringcollege/dr-j-n-mehta-government-polytechnic-amreli-",1
"google","/gujarat-degree-pharmacy-college-list",1
"google","/gujarat-diploma-pharmacy-college-list",1
"google","/",8
"google","/engineeringcollege/gujarat-power-engineering-research-institute-gperi-",1
"google","/medicalcollege/government-orthotics-and-prosthetics-college-ahmedabad",1
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/medicalcollege/govt-physiotherapy-college-ahmedabad",1
"google","/medicalcollege/govt-physiotherapy-college-surat",1
"google","/medicalcollege/govt-physiotherapy-college-vadodara",1
"google","/architecture-colleges-list",4
"google","/d2d-engineering-colleges-list",3
"google","/gujarat-mca-colleges-list",3
"google","/me-mtech-colleges-list",5
"google","/mpharm-colleges-list",2
"google","/engineeringcollege/institute-of-technology-management-universe-technical-campus",1
"google","/medicalcollege/k-m-patel-institute-of-physiotherapy-karamsad",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",3
"google","/d2dcollege/l-d-college-of-engineering-ahmedabad",1
"google","/merit-calculator",1
"google","/medicalcollege/morarji-desai-institute-of-naturopathy-and-yogic-sciences-vadodara",1
"google","/pharmacycollege/degree-pharmacy-college-vivek-bharti-trust-junagadh",1
"google","/medicalcollege/parul-ayurved-college-vadodara",1
"google","/diplomaengineeringcollege/polytechnic-ms-university",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",1
"google","/diplomaengineeringcollege/r-c-technical-institute",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",1
"yahoo","/diplomaengineeringcollege/government-polytechnic-for-girls-surat-",1
"(direct)","/diplomaengineeringcollege/c-u-shah-government-polytechnic",1
"(direct)","/gtud2dcalculator",2
"(direct)","/engineeringcollege/government-enginnering-college-gandhinagar",1
"(direct)","/me-mtech-colleges",1
"(direct)","/me-mtech/sardar-patel-institute-of-technology-piludara-mehsana",1
"(direct)","/MBA-MCA/marwadi-education-foundation-group-of-institutions-faculty-of-comp-app-",1
"(direct)","/medicalcollege/pramukh-swami-medical-college-karamsad",1
"google","/medicalcollege/amc-med-lg-hospital-campus-ahmedabad-",1
"google","/diplomaengineeringcollege/atmiya-institute-junagadh-",1
"google","/architecture-college/anant-institute-of-architecture",4
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"google","/medicalcollege/college-of-dental-sciences-research-bhavnagar",1
"google","/engineeringcollege/faculty-of-engg-tech-research-fetr-isroli-afwa-bardoli",1
"google","/",4
"google","/gtud2dcalculator",2
"google","/diplomaengineeringcollege/government-polytechnic-palanpur",1
"google","/medicalcollege/govt-of-college-of-nursing-patan-",1
"google","/architecture-college/grow-more-school-of-architecture",1
"google","/architecture-colleges-list",3
"google","/bindingd2d.php",1
"google","/d2d-engineering-colleges-list",2
"google","/degree-engineering-colleges-list",1
"google","/me-mtech-colleges-list",3
"google","/me-mtech-colleges",2
"google","/medicalcollege/hari-jyot-optometry-college-navsari",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"google","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",1
"google","/engineeringcollege/noble-engineering-college-junagadh",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",1
"google","/d2dpharmacy/radhe-school-of-pharmacy-bio-research-institute-hirpura-",1
"google","/medicalcollege/sahajanand-college-of-nursing-gandhinagar",1
"google","/medicalcollege/sharda-college-of-nursing",1
"(direct)","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",1
"(direct)","/medicalcollege/s-s-agarwal-college-of-nursing-navsari",1
"(direct)","/architecture-college/school-of-design-architecture-bhayli-vadodara-",1
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",1
"google","/d2d-admission-possibilities engipossibilities",2
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/medicalcollege/dr-ambedkar-college-of-nursing-gandhinagar",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",1
"google","/",6
"google","/gtud2dcalculator",1
"google","/medicalcollege/govt-physiotherapy-college-jamnagar",1
"google","/architecture-colleges-list",1
"google","/bindingd2d.php",1
"google","/d2d-engineering-colleges-list",4
"google","/d2d-engineering-colleges",2
"google","/degree-engineering-colleges-list",1
"google","/me-mtech-colleges-list",2
"google","/diplomaengineeringcollege/h-b-patel-institute-of-diploma-engg-technology-limbodara-",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",4
"google","/MBA-MCA/marwadi-education-foundation-group-of-institutions-faculty-of-comp-app-",1
"google","/diplomaengineeringcollege/navsarjan-polytechnic-",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",2
"google","/diplomaengineeringcollege/s-t-b-s-college-of-diploma-engineering-surat-",1
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"google","/architecture-college/shri-gijubhai-chhaganbhai-patel-institute-of-architecture-interior-design-and-fine-arts-veer-narmad-south-gujarat-university",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",2
"(direct)","/MBA-MCA/atmiya-institute-of-technology-science-rajkot",1
"(direct)","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"(direct)","/",1
"(direct)","/d2d-engineering-colleges-list",1
"(direct)","/degreebranch1.php",1
"(direct)","/me-mtech-colleges-list",1
"(direct)","/me-mtech-intake/chotubhai-gopalbhai-patel-institute-of-technology-maliba-campus-bardoli",1
"google","/architecture-college/anant-institute-of-architecture",3
"google","/medicalcollege/apolo-institute-of-nursing-gandhinagar",1
"google","/diplomaengineeringcollege/atmiya-institute-of-technology-science-for-diploma-studies-rajkot-",1
"google","/diplomaengineeringcollege/b-b-institute-of-technology-vallabh-vidhyanagar",2
"google","/medicalcollege/bhagyalaxmi-nursing-college-",1
"google","/diplomaengineeringcollege/c-u-shah-government-polytechnic",1
"google","/MBA-MCA/charotar-institute-of-computer-application",1
"google","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"google","/medicalcollege/college-of-nursing-surat",1
"google","/diplomaengineeringcollege/darshan-institute-of-engineering-technology-for-diploma-studies-rajkot",1
"google","/engineeringcollege/faculty-of-engg-tech-research-fetr-isroli-afwa-bardoli",1
"google","/medicalcollege/-g-j-ayurved-college-v-v-nagar",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",2
"google","/",8
"google","/gtud2dcalculator",4
"google","/engineeringcollege/gujarat-power-engineering-research-institute-gperi-",2
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",2
"google","/diplomaengineeringcollege/government-polytechnic-junagadh-",2
"google","/architecture-colleges-list",2
"google","/d2d-engineering-colleges-list",2
"google","/gujarat-mca-colleges-list",2
"google","/me-mtech-colleges-list",5
"google","/gujarat-me-mtech-college",1
"google","/medicalcollege/gujarat-medical-education-and-research-society-gmers-medical-college",1
"google","/diplomaengineeringcollege/image-engg-technical-institute-ashalali-",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",8
"google","/medicalcollege/maniba-bhula-nursing-college-bardoli",2
"google","/d2dcollege/noble-engineering-college-junagadh",1
"google","/d2dcollege/om-shanti-engineering-college-bedi-rajkot",1
"google","/medicalcollege/r-k-college-of-physiotherapy-rajkot",1
"google","/d2dpharmacy/radhe-school-of-pharmacy-bio-research-institute-hirpura-",1
"google","/d2dcollege/s-p-b-patel-engg-college-saffrony-",1
"google","/engineeringcollege/-shri-j-m-sabva-institute-of-engineering-and-technology",1
"google","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",1
"google","/diplomaengineeringcollege/shri-k-j-polytechnic-bharuch-",1
"google","/pharmacycollege/smt-bnb-swaminarayan-pharmacy-college-vapi",1
"google","/diplomaengineeringcollege/swaminarayan-college-of-engineering-saij-kalol-",2
"google","/diplomaengineeringcollege/valia-polytechnic-college",1
"google.co.in","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"(direct)","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"(direct)","/medicalcollege/college-of-nursing-lapkaman-ahmedabad",1
"(direct)","/d2d-engineering-colleges-list",1
"(direct)","/d2d-engineering-colleges",1
"(direct)","/me-mtech-colleges-list",1
"(direct)","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"(direct)","/me-mtech/faculty-of-tech-engg-m-s-u-baroda",1
"(direct)","/me-mtech/govenment-enginnering-college-dahod",1
"(direct)","/me-mtech/v-v-p-engineering-college-rajkot6805",1
"(direct)","/medicalcollege/muralidhar-college-of-nursing-rajkot",1
"(direct)","/medicalcollege/physiotherapy-college-lapkaman-ahmedabad",1
"(direct)","/architecture-college/sardar-vallabhbhai-patel-institute-of-technology-svit-",1
"(direct)","/diplomaengineeringcollege/shri-k-j-polytechnic-bharuch-",2
"(direct)","/medicalcollege/stri-kelvani-mandal-college-of-nursing",1
"google","/engineeringcollege/arrdekta-institute-of-technology",1
"google","/engineeringcollege/arun-munchhala-engineering-college-amreli-",1
"google","/diplomaengineeringcollege/atmiya-institute-junagadh-",3
"google","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",2
"google","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"google","/medicalcollege/bmcb-college-of-nursing-bhuj",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",2
"google","/d2dcollege/chhotubhai-gopalbhai-patel-institute-of-technology-tarsadi-bardoli",1
"google","/d2d-admission-possibilities engipossibilities",2
"google","/MBA-MCA/department-of-computer-science-north-guj-uni-gia-",1
"google","/architecture-college/faculty-of-architecture-b-arch-cept-university",1
"google","/bindingmedical.php",1
"google","/",7
"google","/gtud2dcalculator",4
"google","/medicalcollege/government-college-of-nursing-p-d-u",1
"google","/diplomaengineeringcollege/government-polytechnic-palanpur",1
"google","/architecture-colleges-list",5
"google","/d2d-engineering-colleges-list",2
"google","/gujarat-mca-colleges-list",2
"google","/me-mtech-colleges-list",6
"google","/me-mtech-colleges",2
"google","/architecture-college/institute-of-architecture-b-hemchandracharya-north-gujarat-university-hngu-",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",3
"google","/diplomaengineeringcollege/k-p-thakkar-swa-krishnajivandas-institute-of-technology",1
"google","/engineeringcollege/leads-institute-of-technology-engineering-bharuch",1
"google","/MBA-MCA/n-j-sonecha-institute-of-management-veraval",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",3
"google","/diplomaengineeringcollege/r-m-s-polytechnic-vaghodia-",2
"google","/diplomaengineeringcollege/s-b-polytechnic-vadodara-",1
"google","/pharmacycollege/sardar-patel-college-of-pharmacy-bakrol",2
"google","/d2dcollege/shri-satsangi-saketdham-ram-ashram-group-of-institutions-vadasma",1
"google","/MBA-MCA/smt-r-o-patel-women-s-mca-college-sfi-morbi-",1
"google","/d2dpharmacy/saraswati-college-of-pharmacy-gandhinagar",1
"google","/medicalcollege/shree-bharatimaiya-college-of-optometry",1
"google","/MBA-MCA/shree-laxminarayan-dev-college-of-computer-applications-bharuch-sfi-",1
"google","/diplomaengineeringcollege/shri-k-j-polytechnic-bharuch-",1
"google","/diplomaengineeringcollege/sigma-institute-of-technology-engineering-polytechnic-bakorl-baroda-",1
"(direct)","/diplomaengineeringcollege/atul-polytechnic-gandhinagar",1
"(direct)","/d2dcollege/babaria-institute-of-technology5704",1
"(direct)","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",3
"(direct)","/medicalcollege/college-of-nursing-lapkaman-ahmedabad",1
"(direct)","/d2d-admission-possibilities engipossibilities",1
"(direct)","/MBA-MCA/k-b-raval-institute-of-computer-studies",1
"(direct)","/me-mtech/indus-institute-of-technology-engineering-rancharda-di-gandhinagar",1
"(direct)","/me-mtech-intake/a-d-patel-institute-of-technology-new-vallabh-vidyanagar",1
"(direct)","/diplomaengineeringcollege/valia-polytechnic-college",1
"google","/diplomaengineeringcollege/arpit-institute-of-engineering-technology-diploma-hadala-",2
"google","/diplomaengineeringcollege/atmiya-institute-of-technology-science-for-diploma-studies-rajkot-",1
"google","/medicalcollege/b-a-dangar-homeopathy-college-rajkot",1
"google","/pharmacycollege/b-k-mody-govt-pharmacy-college-rajkot",1
"google","/diplomaengineeringcollege/balaji-institute-of-engineering-technology-junagadh-",2
"google","/medicalcollege/bhagyalaxmi-nursing-college-",1
"google","/medicalcollege/c-d-pachigar-homoeopatheic-medical-college-surat",1
"google","/architecture-college/department-of-architecture-faculty-of-technology-engineering-",1
"google","/diplomaengineeringcollege/dr-j-n-mehta-government-polytechnic-amreli-",1
"google","/medicalcollege/g-v-m-nursing-college",1
"google","/diplomaengineeringcollege/government-polytechnic-gandhinagar",1
"google","/bindingdiploma.php",1
"google","/pharmacy-colleges",1
"google","/",9
"google","/gtud2dcalculator",1
"google","/diplomaengineeringcollege/government-polytechnic-for-girls-surat-",1
"google","/diplomaengineeringcollege/government-polytechnic-bhuj-",1
"google","/architecture-colleges-list",2
"google","/d2d-engineering-colleges-list",5
"google","/degree-engineering-colleges-list",2
"google","/gujarat-mca-colleges-list",3
"google","/me-mtech-colleges-list",6
"google","/me-mtech-colleges",1
"google","/engineeringcollege/institute-of-technology-management-universe-technical-campus",2
"google","/pharmacycollege/j-m-pandya-diploma-pharmacy-collge",1
"google","/MBA-MCA/k-b-raval-institute-of-computer-studies",4
"google","/diplomaengineeringcollege/merchant-polytechnic-mehsana",1
"google","/merit-calculator",1
"google","/medicalcollege/pramukh-swami-medical-college-karamsad",1
"google","/d2dpharmacy/radhe-school-of-pharmacy-bio-research-institute-hirpura-",2
"google","/engineeringcollege/-shri-j-m-sabva-institute-of-engineering-and-technology",1
"google","/medicalcollege/shree-babubhai-girdharbhai-patel-physiotherapy-college-anand",2
"google","/diplomaengineeringcollege/shree-hari-polytechnic-institute-nani-kadi-",1
"google","/medicalcollege/shubham-institute-of-nursing-science-research-ahmedabad",1
