"source","pagePath","visits"
"google","/search1.php",1
"google","/search3.php",1
"googleads.g.doubleclick.net","/",1
"(direct)","/",2
"(direct)","/mpharmintake/b-pharmacy-college-rampura-kakanpur5467",1
"(direct)","/pharmacyintake/anand-pharmacy-college-anand",1
"google","/",11
"google","/gujarat-degree-engineering-college",1
"google","/me-mtech-colleges-list",1
"google","/me-mtech-colleges",1
"google","/new_mba_college_list.php",1
"google","/mpharmintake/sardar-patel-college-of-pharmacy-bakrol3517",1
"google","/mpharm/indukaka-ipcowala-college-of-pharmacy-v-v-nagar6162",1
"google","/mpharmsearch.php",1
"google","/newmecollege.php",1
"googleads.g.doubleclick.net","/",1
"search.clinck.in","/",1
"(direct)","/",2
"(direct)","/bindingcollegedetails.php",1
"(direct)","/MBA-MCA-intake/j-h-patel-college-of-management-technology-sfi-christipura-dahemi-",1
"36ohk6dgmcd1n-c.c.yom.mail.yahoo.net","/merit-calculator",1
"avg","/",1
"google","/medical-colleges-list",1
"google","/",15
"google","/me-mtech-colleges-list",1
"google","/newmecollege.php",1
"googleads.g.doubleclick.net","/",1
"search-results","/",2
"search.sweetim.com","/",1
"(direct)","/",2
"(direct)","/bindingcollegedetails.php",1
"conduit","/",1
"google","/diploma-admission-possibilities",1
"google","/engipossibilities1_new.php",1
"google","/gujarat-diploma-pharmacy-college-list",1
"google","/bindingmedical.php",1
"google","/",15
"google","/d2d-pharmacy-colleges-list",1
"google","/gujarat-mba-colleges-list",1
"google","/gujarat-mca-colleges-list",1
"google","/me-mtech-colleges-list",1
"google","/MBA-MCA/knv-institute-of-business-management-sfi-metoda-rajkot",1
"google","/merit-calculator",1
"google","/meritcalc1.php",1
"google","/newmecollege.php",1
"gtuadmissionhelpline.com","/mpharm/sardar-patel-college-of-pharmacy-bakrol3517",1
"gtuadmissionhelpline.com","/mpharm/sat-kaival-college-of-pharmacy-sarsa3227",1
"iphonetester.com","/",1
"(direct)","/engineeringintake/dr-jivraj-mehta-institute-of-technology-anand",1
"(direct)","/",5
"(direct)","/hi-de.php",1
"(direct)","/bindingcollegedetails.php",1
"(direct)","/me-mtech-colleges-list",1
"36ohk6dgmcd1n-c.c.yom.mail.yahoo.net","/merit-calculator",1
"facebook.com","/",1
"google","/engineering-admission-possibilities",1
"google","/diploma-colleges-list",1
"google","/",9
"google","/architecture-colleges-list",1
"google","/bindingmpharmcollege.php",1
"google","/bindingmpharmcollege.php",1
"google","/mpharm-colleges-list",1
"google","/d2dpharmacy/sharda-school-of-pharmacy-pethapur",1
"googleads.g.doubleclick.net","/",1
"gtuadmissionhelpline.com","/mpharmintake/a-p-m-c-college-of-pharmaceuticl-education-and-research-himmatnagar3001",1
"(direct)","/",10
"(direct)","/index.php",1
"(direct)","/bindingcollegedetails.php",1
"(direct)","/mpharmintake/arihant-school-of-pharmacy-and-bio-research-institute-adalaj8447",1
"ask","/",2
"google","/diploma-colleges-list",1
"google","/medical-colleges-list",1
"google","/",13
"google","/architecture-colleges-list",2
